Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [32/500] | Sampled: 259.19 | Baseline: 265.00 | Improvement: 5.81 | Win Rate: 65.62% | Job Loss: 0.6370 | AMR Loss: -0.2164 | Entropy: 1.0065 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 265.16 | Baseline: 269.19 | Improvement: 4.03 | Win Rate: 62.50% | Job Loss: -1.4804 | AMR Loss: 0.3400 | Entropy: 0.9784 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 259.69 | Baseline: 262.88 | Improvement: 3.19 | Win Rate: 65.62% | Job Loss: -1.7274 | AMR Loss: -0.1331 | Entropy: 1.0165 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 259.62 | Baseline: 262.16 | Improvement: 2.53 | Win Rate: 56.25% | Job Loss: 0.4638 | AMR Loss: -0.1364 | Entropy: 0.9815 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 261.19 | Baseline: 267.88 | Improvement: 6.69 | Win Rate: 75.00% | Job Loss: 0.3000 | AMR Loss: 0.2169 | Entropy: 0.9664 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 261.09 | Baseline: 266.22 | Improvement: 5.12 | Win Rate: 65.62% | Job Loss: -0.0706 | AMR Loss: 0.1404 | Entropy: 0.9746 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 264.34 | Baseline: 268.00 | Improvement: 3.66 | Win Rate: 56.25% | Job Loss: -0.3866 | AMR Loss: -0.3381 | Entropy: 0.9695 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 266.88 | Baseline: 268.16 | Improvement: 1.28 | Win Rate: 50.00% | Job Loss: -0.4674 | AMR Loss: -0.3650 | Entropy: 0.9524 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 259.25 | Baseline: 266.16 | Improvement: 6.91 | Win Rate: 78.12% | Job Loss: -0.1196 | AMR Loss: -0.1286 | Entropy: 0.9864 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 258.69 | Baseline: 265.22 | Improvement: 6.53 | Win Rate: 68.75% | Job Loss: 0.4341 | AMR Loss: -0.2065 | Entropy: 0.9903 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [42/500] | Sampled: 261.56 | Baseline: 265.75 | Improvement: 4.19 | Win Rate: 62.50% | Job Loss: -1.0885 | AMR Loss: -0.0889 | Entropy: 1.0095 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 260.84 | Baseline: 266.81 | Improvement: 5.97 | Win Rate: 75.00% | Job Loss: -0.1405 | AMR Loss: -0.4194 | Entropy: 0.9929 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [44/500] | Sampled: 261.47 | Baseline: 265.03 | Improvement: 3.56 | Win Rate: 68.75% | Job Loss: -1.1371 | AMR Loss: -0.1004 | Entropy: 1.0325 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [45/500] | Sampled: 261.44 | Baseline: 265.41 | Improvement: 3.97 | Win Rate: 59.38% | Job Loss: -0.9823 | AMR Loss: 0.1632 | Entropy: 1.0231 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [46/500] | Sampled: 259.22 | Baseline: 265.38 | Improvement: 6.16 | Win Rate: 75.00% | Job Loss: -0.1805 | AMR Loss: -0.1776 | Entropy: 1.0183 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [47/500] | Sampled: 262.50 | Baseline: 266.31 | Improvement: 3.81 | Win Rate: 56.25% | Job Loss: -1.1420 | AMR Loss: -0.4579 | Entropy: 0.9698 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 261.44 | Baseline: 263.72 | Improvement: 2.28 | Win Rate: 53.12% | Job Loss: -0.8898 | AMR Loss: -0.2206 | Entropy: 1.0021 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 261.81 | Baseline: 267.09 | Improvement: 5.28 | Win Rate: 65.62% | Job Loss: 0.3338 | AMR Loss: -0.1479 | Entropy: 0.9572 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [50/500] | Sampled: 261.06 | Baseline: 265.81 | Improvement: 4.75 | Win Rate: 62.50% | Job Loss: -0.5122 | AMR Loss: -0.1591 | Entropy: 0.9881 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 256.04 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 256.04)
Epoch [51/500] | Sampled: 261.50 | Baseline: 266.62 | Improvement: 5.12 | Win Rate: 62.50% | Job Loss: 0.0790 | AMR Loss: 0.0766 | Entropy: 0.9815 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [52/500] | Sampled: 261.94 | Baseline: 265.25 | Improvement: 3.31 | Win Rate: 56.25% | Job Loss: -1.1372 | AMR Loss: 0.2708 | Entropy: 1.0043 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [53/500] | Sampled: 263.47 | Baseline: 266.03 | Improvement: 2.56 | Win Rate: 62.50% | Job Loss: -0.8047 | AMR Loss: -0.4254 | Entropy: 1.0147 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
