Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [34/500] | Sampled: 244.09 | Baseline: 262.88 | Improvement: 18.78 | Win Rate: 93.75% | Actor Loss: -1.3262 | Entropy: 0.4883 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [35/500] | Sampled: 244.12 | Baseline: 262.16 | Improvement: 18.03 | Win Rate: 96.88% | Actor Loss: -0.1116 | Entropy: 0.4902 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 246.31 | Baseline: 267.88 | Improvement: 21.56 | Win Rate: 100.00% | Actor Loss: -0.7741 | Entropy: 0.5244 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [37/500] | Sampled: 248.19 | Baseline: 266.22 | Improvement: 18.03 | Win Rate: 100.00% | Actor Loss: -0.8103 | Entropy: 0.4844 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 252.41 | Baseline: 268.00 | Improvement: 15.59 | Win Rate: 93.75% | Actor Loss: -0.1888 | Entropy: 0.4833 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [39/500] | Sampled: 252.06 | Baseline: 268.16 | Improvement: 16.09 | Win Rate: 96.88% | Actor Loss: 0.3172 | Entropy: 0.4519 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [40/500] | Sampled: 245.34 | Baseline: 266.16 | Improvement: 20.81 | Win Rate: 96.88% | Actor Loss: -0.7052 | Entropy: 0.4462 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [41/500] | Sampled: 247.56 | Baseline: 265.22 | Improvement: 17.66 | Win Rate: 96.88% | Actor Loss: -0.9393 | Entropy: 0.4612 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [42/500] | Sampled: 249.66 | Baseline: 265.75 | Improvement: 16.09 | Win Rate: 90.62% | Actor Loss: 0.7595 | Entropy: 0.4780 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [43/500] | Sampled: 248.84 | Baseline: 266.81 | Improvement: 17.97 | Win Rate: 90.62% | Actor Loss: 0.2232 | Entropy: 0.4858 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
