Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [45/500] | Sampled: 259.97 | Baseline: 265.41 | Improvement: 5.44 | Win Rate: 62.50% | Job Loss: -0.2300 | AMR Loss: -0.3728 | Entropy: 1.7041 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [46/500] | Sampled: 260.25 | Baseline: 265.38 | Improvement: 5.12 | Win Rate: 68.75% | Job Loss: 0.4716 | AMR Loss: -0.5956 | Entropy: 1.7313 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 260.56 | Baseline: 266.31 | Improvement: 5.75 | Win Rate: 62.50% | Job Loss: -1.3200 | AMR Loss: -0.1532 | Entropy: 1.7347 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 258.09 | Baseline: 263.72 | Improvement: 5.62 | Win Rate: 59.38% | Job Loss: -0.8755 | AMR Loss: -0.6520 | Entropy: 1.7592 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 263.06 | Baseline: 267.09 | Improvement: 4.03 | Win Rate: 59.38% | Job Loss: -0.4598 | AMR Loss: 0.1495 | Entropy: 1.7950 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [50/500] | Sampled: 258.66 | Baseline: 265.81 | Improvement: 7.16 | Win Rate: 71.88% | Job Loss: -1.1196 | AMR Loss: -0.1295 | Entropy: 1.8422 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 258.10 | Invalid Jobs: 0.00
Epoch [51/500] | Sampled: 262.22 | Baseline: 266.62 | Improvement: 4.41 | Win Rate: 62.50% | Job Loss: -0.4654 | AMR Loss: -0.0742 | Entropy: 1.8461 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [52/500] | Sampled: 262.22 | Baseline: 265.25 | Improvement: 3.03 | Win Rate: 46.88% | Job Loss: -0.8832 | AMR Loss: -0.3174 | Entropy: 1.8612 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [53/500] | Sampled: 264.84 | Baseline: 266.03 | Improvement: 1.19 | Win Rate: 53.12% | Job Loss: -0.1076 | AMR Loss: -0.2896 | Entropy: 1.8614 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
