Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [32/500] | Sampled: 256.06 | Baseline: 246.53 | Improvement: -9.53 | Win Rate: 12.50% | Job Loss: -0.6111 | AMR Loss: -0.0375 | Entropy: 0.7898 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 258.81 | Baseline: 251.66 | Improvement: -7.16 | Win Rate: 21.88% | Job Loss: -0.4325 | AMR Loss: 0.7547 | Entropy: 0.8110 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 253.47 | Baseline: 245.44 | Improvement: -8.03 | Win Rate: 18.75% | Job Loss: -0.2863 | AMR Loss: -0.1096 | Entropy: 0.8166 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 255.06 | Baseline: 248.47 | Improvement: -6.59 | Win Rate: 21.88% | Job Loss: -0.7928 | AMR Loss: 0.5633 | Entropy: 0.7860 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 258.03 | Baseline: 249.22 | Improvement: -8.81 | Win Rate: 9.38% | Job Loss: -1.1289 | AMR Loss: -0.8712 | Entropy: 0.8068 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [37/500] | Sampled: 256.47 | Baseline: 251.25 | Improvement: -5.22 | Win Rate: 21.88% | Job Loss: -0.6890 | AMR Loss: 0.0675 | Entropy: 0.8163 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 257.84 | Baseline: 249.94 | Improvement: -7.91 | Win Rate: 18.75% | Job Loss: -1.9133 | AMR Loss: -0.1811 | Entropy: 0.8019 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 256.25 | Baseline: 251.81 | Improvement: -4.44 | Win Rate: 28.12% | Job Loss: -0.8495 | AMR Loss: 0.0267 | Entropy: 0.8449 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 255.81 | Baseline: 247.06 | Improvement: -8.75 | Win Rate: 9.38% | Job Loss: -1.8191 | AMR Loss: 0.1389 | Entropy: 0.8232 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [41/500] | Sampled: 254.88 | Baseline: 247.62 | Improvement: -7.25 | Win Rate: 15.62% | Job Loss: -1.2559 | AMR Loss: 0.7379 | Entropy: 0.8020 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
