Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [41/500] | Sampled: 252.88 | Baseline: 247.62 | Improvement: -5.25 | Win Rate: 25.00% | Job Loss: -0.3198 | AMR Loss: -0.1778 | Entropy: 0.9062 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [42/500] | Sampled: 257.22 | Baseline: 251.16 | Improvement: -6.06 | Win Rate: 25.00% | Job Loss: -2.4728 | AMR Loss: -0.1879 | Entropy: 0.8842 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 254.78 | Baseline: 249.69 | Improvement: -5.09 | Win Rate: 21.88% | Job Loss: -1.3200 | AMR Loss: -0.3592 | Entropy: 0.8623 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [44/500] | Sampled: 252.56 | Baseline: 249.16 | Improvement: -3.41 | Win Rate: 31.25% | Job Loss: -2.0963 | AMR Loss: -0.4606 | Entropy: 0.9010 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [45/500] | Sampled: 253.16 | Baseline: 249.00 | Improvement: -4.16 | Win Rate: 21.88% | Job Loss: -3.0778 | AMR Loss: 0.2244 | Entropy: 0.8863 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [46/500] | Sampled: 252.66 | Baseline: 248.56 | Improvement: -4.09 | Win Rate: 34.38% | Job Loss: -0.8980 | AMR Loss: 0.1637 | Entropy: 0.8871 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 257.06 | Baseline: 252.56 | Improvement: -4.50 | Win Rate: 28.12% | Job Loss: 0.1735 | AMR Loss: -0.5420 | Entropy: 0.8556 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 253.84 | Baseline: 248.75 | Improvement: -5.09 | Win Rate: 18.75% | Job Loss: -1.4944 | AMR Loss: -0.2550 | Entropy: 0.8531 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 254.94 | Baseline: 249.12 | Improvement: -5.81 | Win Rate: 21.88% | Job Loss: -1.5197 | AMR Loss: 0.2224 | Entropy: 0.8102 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [50/500] | Sampled: 254.88 | Baseline: 247.03 | Improvement: -7.84 | Win Rate: 15.62% | Job Loss: -1.7363 | AMR Loss: 0.1491 | Entropy: 0.8307 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 252.72 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 252.72)
