Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [45/500] | Sampled: 248.12 | Baseline: 249.00 | Improvement: 0.88 | Win Rate: 53.12% | Actor Loss: 0.7145 | Entropy: 0.3830 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [46/500] | Sampled: 247.50 | Baseline: 248.56 | Improvement: 1.06 | Win Rate: 56.25% | Actor Loss: -0.3900 | Entropy: 0.3821 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 251.19 | Baseline: 252.56 | Improvement: 1.38 | Win Rate: 56.25% | Actor Loss: 0.4641 | Entropy: 0.3998 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [48/500] | Sampled: 248.06 | Baseline: 248.75 | Improvement: 0.69 | Win Rate: 59.38% | Actor Loss: 0.0641 | Entropy: 0.4374 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [49/500] | Sampled: 246.78 | Baseline: 249.12 | Improvement: 2.34 | Win Rate: 65.62% | Actor Loss: -0.6694 | Entropy: 0.4241 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [50/500] | Sampled: 248.38 | Baseline: 247.03 | Improvement: -1.34 | Win Rate: 43.75% | Actor Loss: -1.0723 | Entropy: 0.4734 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 247.66 | Invalid Jobs: 0.00
Epoch [51/500] | Sampled: 247.28 | Baseline: 248.66 | Improvement: 1.38 | Win Rate: 53.12% | Actor Loss: 0.1407 | Entropy: 0.4725 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [52/500] | Sampled: 250.59 | Baseline: 250.69 | Improvement: 0.09 | Win Rate: 40.62% | Actor Loss: -0.3122 | Entropy: 0.4843 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [53/500] | Sampled: 249.44 | Baseline: 251.25 | Improvement: 1.81 | Win Rate: 62.50% | Actor Loss: -0.4985 | Entropy: 0.4498 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [54/500] | Sampled: 247.81 | Baseline: 247.03 | Improvement: -0.78 | Win Rate: 50.00% | Actor Loss: -0.9964 | Entropy: 0.4860 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [55/500] | Sampled: 250.41 | Baseline: 250.75 | Improvement: 0.34 | Win Rate: 53.12% | Actor Loss: 0.2332 | Entropy: 0.4923 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [56/500] | Sampled: 252.41 | Baseline: 251.44 | Improvement: -0.97 | Win Rate: 43.75% | Actor Loss: -0.3058 | Entropy: 0.4379 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [57/500] | Sampled: 248.62 | Baseline: 247.38 | Improvement: -1.25 | Win Rate: 40.62% | Actor Loss: -1.5747 | Entropy: 0.4737 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
