Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [32/500] | Sampled: 266.38 | Baseline: 264.91 | Improvement: -1.47 | Win Rate: 46.88% | Job Loss: 0.2293 | AMR Loss: -0.9553 | Entropy: 1.9259 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 269.25 | Baseline: 268.06 | Improvement: -1.19 | Win Rate: 53.12% | Job Loss: -0.7224 | AMR Loss: -1.1397 | Entropy: 1.9057 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 266.97 | Baseline: 261.53 | Improvement: -5.44 | Win Rate: 34.38% | Job Loss: 0.1753 | AMR Loss: -1.2480 | Entropy: 1.8819 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [35/500] | Sampled: 266.69 | Baseline: 261.84 | Improvement: -4.84 | Win Rate: 34.38% | Job Loss: -0.1959 | AMR Loss: -2.1033 | Entropy: 1.8678 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 266.50 | Baseline: 267.47 | Improvement: 0.97 | Win Rate: 56.25% | Job Loss: 0.9540 | AMR Loss: -1.5543 | Entropy: 1.8981 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 266.31 | Baseline: 265.69 | Improvement: -0.62 | Win Rate: 40.62% | Job Loss: -0.7143 | AMR Loss: -0.1682 | Entropy: 1.9521 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 268.78 | Baseline: 266.78 | Improvement: -2.00 | Win Rate: 34.38% | Job Loss: -0.0805 | AMR Loss: -0.3187 | Entropy: 1.9827 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 268.16 | Baseline: 266.25 | Improvement: -1.91 | Win Rate: 43.75% | Job Loss: -0.7210 | AMR Loss: -1.5418 | Entropy: 1.9936 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [40/500] | Sampled: 266.22 | Baseline: 266.22 | Improvement: 0.00 | Win Rate: 53.12% | Job Loss: -0.1481 | AMR Loss: -0.0645 | Entropy: 2.0813 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [41/500] | Sampled: 260.81 | Baseline: 264.59 | Improvement: 3.78 | Win Rate: 65.62% | Job Loss: -0.2798 | AMR Loss: -0.3991 | Entropy: 2.1456 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
