job_rule,amr_rule,m,eta,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
lpt,material_match,20,4.0,100,99,0.01,304.8,364.8,19.74,0.91,43.07,6.46,87.0
lpt,material_match,24,4.8,100,100,0.0,298.2,358.3,20.44,1.23,54.6,6.73,89.0
lpt,nearest_amr,8,1.6,100,100,0.0,713.8,879.0,23.42,2.36,49.58,3.84,92.8
lpt,nearest_amr,12,2.4,100,100,0.0,520.3,662.2,27.79,2.61,51.59,5.07,91.1
lpt,nearest_amr,16,3.2,100,100,0.0,411.7,529.2,28.86,2.52,51.23,6.04,89.5
lpt,nearest_amr,20,4.0,100,100,0.0,338.9,453.5,34.13,2.61,55.17,6.78,89.1
lpt,nearest_amr,24,4.8,100,100,0.0,296.3,411.2,39.39,2.75,62.84,7.45,89.4
lpt,random,8,1.6,100,100,0.0,821.6,1271.7,56.21,3.88,103.53,3.53,96.7
lpt,random,12,2.4,100,100,0.0,644.1,1071.8,69.66,5.81,138.78,4.72,96.7
lpt,random,16,3.2,100,100,0.0,555.7,930.6,69.22,4.38,154.18,5.59,96.5
lpt,random,20,4.0,100,100,0.0,479.8,863.6,81.99,4.59,173.43,6.1,96.6
lpt,random,24,4.8,100,100,0.0,444.8,795.6,82.18,6.2,186.85,6.85,96.5
milk_run,earliest_available,8,1.6,100,100,0.0,405.0,439.3,8.57,0.98,5.61,2.95,65.6
milk_run,earliest_available,12,2.4,100,100,0.0,307.1,360.2,17.41,1.42,17.9,4.86,78.6
milk_run,earliest_available,16,3.2,100,100,0.0,287.8,347.2,21.02,2.17,36.96,5.73,86.6
milk_run,earliest_available,20,4.0,100,100,0.0,286.4,347.6,21.75,2.06,46.48,5.84,88.8
milk_run,earliest_available,24,4.8,100,100,0.0,285.6,347.2,22.07,2.15,47.58,5.71,89.3
milk_run,earliest_completion,8,1.6,100,100,0.0,403.7,439.9,9.11,1.06,6.28,3.02,67.5
milk_run,earliest_completion,12,2.4,100,100,0.0,308.1,362.3,17.82,1.63,19.83,4.79,80.6
milk_run,earliest_completion,16,3.2,100,100,0.0,290.4,350.6,20.93,1.9,39.23,5.39,87.9
milk_run,earliest_completion,20,4.0,100,100,0.0,283.6,350.2,24.03,2.43,48.79,5.43,90.0
milk_run,earliest_completion,24,4.8,100,100,0.0,281.4,349.9,25.21,2.8,50.13,5.44,90.2
milk_run,least_loaded,8,1.6,100,100,0.0,403.2,439.4,9.07,1.03,5.64,2.95,65.7
milk_run,least_loaded,12,2.4,100,100,0.0,306.3,360.5,17.81,1.55,17.62,4.86,78.4
milk_run,least_loaded,16,3.2,100,100,0.0,280.8,348.7,24.57,2.26,35.96,5.73,86.3
milk_run,least_loaded,20,4.0,100,100,0.0,271.6,348.3,29.36,3.02,46.01,5.86,88.7
milk_run,least_loaded,24,4.8,100,100,0.0,270.1,347.4,29.98,3.13,47.22,5.74,89.2
milk_run,material_match,8,1.6,100,100,0.0,406.8,439.4,8.09,0.87,5.46,2.91,65.2
milk_run,material_match,12,2.4,100,100,0.0,313.6,361.1,15.31,1.25,17.57,4.82,78.5
milk_run,material_match,16,3.2,100,100,0.0,300.7,349.6,16.3,1.43,28.81,5.46,84.1
milk_run,material_match,20,4.0,100,100,0.0,296.3,349.6,18.08,1.41,32.49,5.42,85.7
milk_run,material_match,24,4.8,100,100,0.0,296.4,350.3,18.26,1.43,32.97,5.44,85.8
milk_run,nearest_amr,8,1.6,100,100,0.0,403.7,439.9,9.11,1.06,6.28,3.02,67.5
milk_run,nearest_amr,12,2.4,100,100,0.0,308.1,362.3,17.82,1.63,19.83,4.79,80.6
milk_run,nearest_amr,16,3.2,100,100,0.0,290.4,350.6,20.93,1.9,39.23,5.39,87.9
milk_run,nearest_amr,20,4.0,100,100,0.0,283.6,350.2,24.03,2.43,48.79,5.43,90.0
milk_run,nearest_amr,24,4.8,100,100,0.0,281.4,349.9,25.21,2.8,50.13,5.44,90.2
milk_run,random,8,1.6,100,100,0.0,409.3,442.9,8.3,1.13,5.9,3.07,65.8
milk_run,random,12,2.4,100,100,0.0,309.4,363.0,17.44,1.44,18.35,5.02,78.5
milk_run,random,16,3.2,100,100,0.0,291.7,348.7,19.83,2.0,32.94,5.62,85.4
milk_run,random,20,4.0,100,100,0.0,289.3,346.1,19.92,1.76,41.12,5.77,87.7
milk_run,random,24,4.8,100,100,0.0,289.7,346.5,19.87,1.8,42.52,5.96,87.7
