Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [109/1500] | Sampled: 775.50 | Baseline: 1001.00 | Improvement: 225.50 | Win Rate: 100.00% | Job Loss: 353.4555 | AMR Loss: 366.6982 | Entropy: 2.7267
Epoch [110/1500] | Sampled: 902.75 | Baseline: 1110.75 | Improvement: 208.00 | Win Rate: 100.00% | Job Loss: 446.8083 | AMR Loss: -208.4763 | Entropy: 2.7657
Epoch [111/1500] | Sampled: 692.25 | Baseline: 903.25 | Improvement: 211.00 | Win Rate: 75.00% | Job Loss: 474.8840 | AMR Loss: -136.0767 | Entropy: 2.5833
Epoch [112/1500] | Sampled: 829.25 | Baseline: 1127.00 | Improvement: 297.75 | Win Rate: 75.00% | Job Loss: 715.8300 | AMR Loss: 261.1250 | Entropy: 2.6603
Epoch [113/1500] | Sampled: 902.75 | Baseline: 911.00 | Improvement: 8.25 | Win Rate: 50.00% | Job Loss: -408.2475 | AMR Loss: -9.2927 | Entropy: 2.6143
Epoch [114/1500] | Sampled: 793.75 | Baseline: 1158.50 | Improvement: 364.75 | Win Rate: 100.00% | Job Loss: 655.6007 | AMR Loss: 120.4220 | Entropy: 2.7720
Epoch [115/1500] | Sampled: 534.50 | Baseline: 698.00 | Improvement: 163.50 | Win Rate: 75.00% | Job Loss: 346.6825 | AMR Loss: 69.1835 | Entropy: 2.5580
Epoch [116/1500] | Sampled: 1066.25 | Baseline: 1405.25 | Improvement: 339.00 | Win Rate: 100.00% | Job Loss: 778.7118 | AMR Loss: 316.9317 | Entropy: 2.8655
Epoch [117/1500] | Sampled: 544.50 | Baseline: 823.25 | Improvement: 278.75 | Win Rate: 75.00% | Job Loss: 566.1819 | AMR Loss: 197.7994 | Entropy: 2.4773
Epoch [118/1500] | Sampled: 675.25 | Baseline: 885.25 | Improvement: 210.00 | Win Rate: 75.00% | Job Loss: 581.1935 | AMR Loss: 113.2270 | Entropy: 2.6551
Epoch [119/1500] | Sampled: 689.75 | Baseline: 832.25 | Improvement: 142.50 | Win Rate: 100.00% | Job Loss: 270.2740 | AMR Loss: -199.7825 | Entropy: 2.4777
Epoch [120/1500] | Sampled: 566.25 | Baseline: 703.25 | Improvement: 137.00 | Win Rate: 75.00% | Job Loss: 172.1248 | AMR Loss: -16.1421 | Entropy: 2.4991
Epoch [121/1500] | Sampled: 950.25 | Baseline: 1232.00 | Improvement: 281.75 | Win Rate: 100.00% | Job Loss: 328.1368 | AMR Loss: -259.4113 | Entropy: 2.8506
Epoch [122/1500] | Sampled: 883.50 | Baseline: 1209.25 | Improvement: 325.75 | Win Rate: 100.00% | Job Loss: 572.6042 | AMR Loss: 615.9078 | Entropy: 2.8526
Epoch [123/1500] | Sampled: 788.75 | Baseline: 973.25 | Improvement: 184.50 | Win Rate: 75.00% | Job Loss: 631.4360 | AMR Loss: 605.1830 | Entropy: 2.6636
Epoch [124/1500] | Sampled: 598.75 | Baseline: 743.00 | Improvement: 144.25 | Win Rate: 100.00% | Job Loss: 291.2411 | AMR Loss: 53.1022 | Entropy: 2.5386
Epoch [125/1500] | Sampled: 992.75 | Baseline: 1098.00 | Improvement: 105.25 | Win Rate: 75.00% | Job Loss: -110.7145 | AMR Loss: 320.0639 | Entropy: 2.7720
Epoch [126/1500] | Sampled: 940.50 | Baseline: 1202.75 | Improvement: 262.25 | Win Rate: 100.00% | Job Loss: 635.9661 | AMR Loss: 185.6658 | Entropy: 2.8037
Epoch [127/1500] | Sampled: 605.25 | Baseline: 772.25 | Improvement: 167.00 | Win Rate: 50.00% | Job Loss: 511.3125 | AMR Loss: -39.0445 | Entropy: 2.3998
Epoch [128/1500] | Sampled: 867.50 | Baseline: 988.25 | Improvement: 120.75 | Win Rate: 75.00% | Job Loss: 130.3230 | AMR Loss: -28.9457 | Entropy: 2.6701
Epoch [129/1500] | Sampled: 831.50 | Baseline: 985.25 | Improvement: 153.75 | Win Rate: 75.00% | Job Loss: -121.1241 | AMR Loss: -60.3716 | Entropy: 2.6762
Epoch [130/1500] | Sampled: 862.25 | Baseline: 1167.75 | Improvement: 305.50 | Win Rate: 100.00% | Job Loss: 616.5292 | AMR Loss: -207.0498 | Entropy: 2.7957
Epoch [131/1500] | Sampled: 1116.50 | Baseline: 1320.25 | Improvement: 203.75 | Win Rate: 100.00% | Job Loss: 438.3114 | AMR Loss: -224.3504 | Entropy: 2.8091
Epoch [132/1500] | Sampled: 959.50 | Baseline: 1219.75 | Improvement: 260.25 | Win Rate: 100.00% | Job Loss: 528.0972 | AMR Loss: 512.8166 | Entropy: 2.9432
Epoch [133/1500] | Sampled: 764.50 | Baseline: 1042.50 | Improvement: 278.00 | Win Rate: 100.00% | Job Loss: 385.0565 | AMR Loss: 154.6540 | Entropy: 2.7398
Epoch [134/1500] | Sampled: 466.25 | Baseline: 612.00 | Improvement: 145.75 | Win Rate: 100.00% | Job Loss: 324.5832 | AMR Loss: -1.2912 | Entropy: 2.3313
Epoch [135/1500] | Sampled: 634.75 | Baseline: 863.50 | Improvement: 228.75 | Win Rate: 100.00% | Job Loss: 699.2090 | AMR Loss: 405.9570 | Entropy: 2.3983
Epoch [136/1500] | Sampled: 961.25 | Baseline: 1144.00 | Improvement: 182.75 | Win Rate: 100.00% | Job Loss: 411.1010 | AMR Loss: 94.3541 | Entropy: 2.7539
Epoch [137/1500] | Sampled: 806.50 | Baseline: 966.75 | Improvement: 160.25 | Win Rate: 100.00% | Job Loss: 414.3203 | AMR Loss: 370.9180 | Entropy: 2.6060
Epoch [138/1500] | Sampled: 1204.50 | Baseline: 1762.75 | Improvement: 558.25 | Win Rate: 100.00% | Job Loss: 1265.9823 | AMR Loss: 522.0935 | Entropy: 3.0971
