Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [56/1500] | Sampled: 1036.25 | Baseline: 893.50 | Improvement: -142.75 | Win Rate: 50.00% | Job Loss: -393.7757 | AMR Loss: 41.4224 | Entropy: 3.6865
Epoch [57/1500] | Sampled: 1204.75 | Baseline: 1036.00 | Improvement: -168.75 | Win Rate: 0.00% | Job Loss: -182.5640 | AMR Loss: -221.1263 | Entropy: 3.6827
Epoch [58/1500] | Sampled: 969.50 | Baseline: 1019.50 | Improvement: 50.00 | Win Rate: 50.00% | Job Loss: 82.7442 | AMR Loss: 232.0304 | Entropy: 3.6307
Epoch [59/1500] | Sampled: 1142.00 | Baseline: 980.75 | Improvement: -161.25 | Win Rate: 25.00% | Job Loss: -684.0608 | AMR Loss: -291.1942 | Entropy: 3.6934
Epoch [60/1500] | Sampled: 1321.25 | Baseline: 1229.25 | Improvement: -92.00 | Win Rate: 50.00% | Job Loss: -269.5975 | AMR Loss: -111.0048 | Entropy: 3.7797
Epoch [61/1500] | Sampled: 816.25 | Baseline: 640.25 | Improvement: -176.00 | Win Rate: 0.00% | Job Loss: -439.5180 | AMR Loss: -87.5196 | Entropy: 3.4161
Epoch [62/1500] | Sampled: 1142.25 | Baseline: 987.00 | Improvement: -155.25 | Win Rate: 0.00% | Job Loss: -345.1287 | AMR Loss: -343.7067 | Entropy: 3.6792
Epoch [63/1500] | Sampled: 1434.50 | Baseline: 1444.25 | Improvement: 9.75 | Win Rate: 50.00% | Job Loss: -9.4950 | AMR Loss: -223.5546 | Entropy: 4.0136
Epoch [64/1500] | Sampled: 911.75 | Baseline: 885.25 | Improvement: -26.50 | Win Rate: 75.00% | Job Loss: -203.1694 | AMR Loss: -265.8522 | Entropy: 3.5707
Epoch [65/1500] | Sampled: 750.25 | Baseline: 694.50 | Improvement: -55.75 | Win Rate: 50.00% | Job Loss: 12.9774 | AMR Loss: -66.8289 | Entropy: 3.4012
Epoch [66/1500] | Sampled: 1285.25 | Baseline: 1142.25 | Improvement: -143.00 | Win Rate: 0.00% | Job Loss: -357.8509 | AMR Loss: -248.1496 | Entropy: 3.7142
Epoch [67/1500] | Sampled: 968.50 | Baseline: 981.25 | Improvement: 12.75 | Win Rate: 25.00% | Job Loss: 69.3008 | AMR Loss: -27.3266 | Entropy: 3.5882
Epoch [68/1500] | Sampled: 1415.25 | Baseline: 1319.00 | Improvement: -96.25 | Win Rate: 25.00% | Job Loss: -645.6839 | AMR Loss: -205.4083 | Entropy: 3.8488
Epoch [69/1500] | Sampled: 1309.00 | Baseline: 1167.25 | Improvement: -141.75 | Win Rate: 25.00% | Job Loss: -830.3804 | AMR Loss: -105.7108 | Entropy: 3.7589
