Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [73/2000] | Sampled: 917.75 | Baseline: 600.88 | Improvement: -316.88 | Win Rate: 0.00% | Actor Loss: 8.3026 | Entropy: 1.5903 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8 | LR: 2.99e-04
Epoch [74/2000] | Sampled: 897.12 | Baseline: 586.56 | Improvement: -310.56 | Win Rate: 0.00% | Actor Loss: 6.8178 | Entropy: 1.6528 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5 | LR: 2.99e-04
Epoch [75/2000] | Sampled: 865.38 | Baseline: 584.81 | Improvement: -280.56 | Win Rate: 0.00% | Actor Loss: 4.9085 | Entropy: 1.7549 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7 | LR: 2.99e-04
Epoch [76/2000] | Sampled: 877.88 | Baseline: 600.62 | Improvement: -277.25 | Win Rate: 0.00% | Actor Loss: -4.1311 | Entropy: 1.8270 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6 | LR: 2.99e-04
Epoch [77/2000] | Sampled: 874.81 | Baseline: 577.94 | Improvement: -296.88 | Win Rate: 0.00% | Actor Loss: -6.3687 | Entropy: 1.8723 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5 | LR: 2.99e-04
Epoch [78/2000] | Sampled: 877.12 | Baseline: 588.44 | Improvement: -288.69 | Win Rate: 0.00% | Actor Loss: 2.7910 | Entropy: 1.8617 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4 | LR: 2.99e-04
Epoch [79/2000] | Sampled: 866.94 | Baseline: 583.62 | Improvement: -283.31 | Win Rate: 0.00% | Actor Loss: 1.9079 | Entropy: 1.8799 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.4 | LR: 2.99e-04
Epoch [80/2000] | Sampled: 857.50 | Baseline: 588.75 | Improvement: -268.75 | Win Rate: 0.00% | Actor Loss: 5.2328 | Entropy: 1.8590 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3 | LR: 2.99e-04
Epoch [81/2000] | Sampled: 882.06 | Baseline: 585.50 | Improvement: -296.56 | Win Rate: 0.00% | Actor Loss: 0.9589 | Entropy: 1.8095 | Invalid S/B: 0.06/0.00 | Max Load: 20.9 | Load Gap: 1.7 | LR: 2.99e-04
Epoch [82/2000] | Sampled: 885.50 | Baseline: 590.25 | Improvement: -295.25 | Win Rate: 0.00% | Actor Loss: 0.6447 | Entropy: 1.7337 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.9 | LR: 2.99e-04
Epoch [83/2000] | Sampled: 887.62 | Baseline: 580.44 | Improvement: -307.19 | Win Rate: 0.00% | Actor Loss: 1.2810 | Entropy: 1.6712 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8 | LR: 2.99e-04
Epoch [84/2000] | Sampled: 899.25 | Baseline: 587.19 | Improvement: -312.06 | Win Rate: 0.00% | Actor Loss: 1.9375 | Entropy: 1.6643 | Invalid S/B: 0.06/0.00 | Max Load: 20.9 | Load Gap: 1.6 | LR: 2.99e-04
Epoch [85/2000] | Sampled: 883.88 | Baseline: 587.06 | Improvement: -296.81 | Win Rate: 0.00% | Actor Loss: 6.1368 | Entropy: 1.6462 | Invalid S/B: 0.06/0.00 | Max Load: 21.1 | Load Gap: 2.1 | LR: 2.99e-04
