Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [71/1000] | Sampled: 2058.38 | Baseline: 680.12 | Improvement: -1378.25 | Win Rate: 0.00% | Job Loss: -5.3921 | AMR Loss: 1.3898 | Entropy: 1.1064
Epoch [72/1000] | Sampled: 2063.06 | Baseline: 682.25 | Improvement: -1380.81 | Win Rate: 0.00% | Job Loss: -7.1714 | AMR Loss: 1.3314 | Entropy: 1.1142
Epoch [73/1000] | Sampled: 2051.25 | Baseline: 694.31 | Improvement: -1356.94 | Win Rate: 0.00% | Job Loss: -4.8319 | AMR Loss: 1.7492 | Entropy: 1.1124
Epoch [74/1000] | Sampled: 2033.12 | Baseline: 686.56 | Improvement: -1346.56 | Win Rate: 0.00% | Job Loss: -3.8794 | AMR Loss: 0.9866 | Entropy: 1.1329
Epoch [75/1000] | Sampled: 2058.06 | Baseline: 685.69 | Improvement: -1372.38 | Win Rate: 0.00% | Job Loss: -4.9199 | AMR Loss: 1.4062 | Entropy: 1.0811
Epoch [76/1000] | Sampled: 2122.75 | Baseline: 707.00 | Improvement: -1415.75 | Win Rate: 0.00% | Job Loss: -1.1831 | AMR Loss: 1.2144 | Entropy: 1.1112
Epoch [77/1000] | Sampled: 2070.44 | Baseline: 687.44 | Improvement: -1383.00 | Win Rate: 0.00% | Job Loss: -1.5528 | AMR Loss: 1.2793 | Entropy: 1.1383
Epoch [78/1000] | Sampled: 2088.88 | Baseline: 687.12 | Improvement: -1401.75 | Win Rate: 0.00% | Job Loss: -4.1383 | AMR Loss: 0.9673 | Entropy: 1.3085
Epoch [79/1000] | Sampled: 2066.94 | Baseline: 698.81 | Improvement: -1368.12 | Win Rate: 0.00% | Job Loss: -6.0835 | AMR Loss: 1.8416 | Entropy: 1.5374
Epoch [80/1000] | Sampled: 2057.31 | Baseline: 699.62 | Improvement: -1357.69 | Win Rate: 0.00% | Job Loss: -2.9331 | AMR Loss: 2.0606 | Entropy: 1.4907
Epoch [81/1000] | Sampled: 2069.69 | Baseline: 686.06 | Improvement: -1383.62 | Win Rate: 0.00% | Job Loss: -2.3241 | AMR Loss: 2.5386 | Entropy: 1.2423
Epoch [82/1000] | Sampled: 2078.81 | Baseline: 688.62 | Improvement: -1390.19 | Win Rate: 0.00% | Job Loss: -4.9623 | AMR Loss: 1.9050 | Entropy: 1.1441
