Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [99/2000] | Sampled: 2178.19 | Baseline: 728.19 | Improvement: -1450.00 | Win Rate: 0.00% | Actor Loss: -3.0127 | Entropy: 1.7211
Epoch [100/2000] | Sampled: 2172.88 | Baseline: 716.12 | Improvement: -1456.75 | Win Rate: 0.00% | Actor Loss: -15.7021 | Entropy: 1.9465
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [101/2000] | Sampled: 1758.19 | Baseline: 581.94 | Improvement: -1176.25 | Win Rate: 0.00% | Actor Loss: -8.0581 | Entropy: 1.5284
Epoch [102/2000] | Sampled: 2175.00 | Baseline: 737.19 | Improvement: -1437.81 | Win Rate: 0.00% | Actor Loss: -40.2951 | Entropy: 1.4801
Epoch [103/2000] | Sampled: 2302.50 | Baseline: 751.81 | Improvement: -1550.69 | Win Rate: 0.00% | Actor Loss: -3.5060 | Entropy: 1.4059
Epoch [104/2000] | Sampled: 1979.81 | Baseline: 648.56 | Improvement: -1331.25 | Win Rate: 0.00% | Actor Loss: -579.8169 | Entropy: 1.0420
Epoch [105/2000] | Sampled: 2167.31 | Baseline: 716.50 | Improvement: -1450.81 | Win Rate: 0.00% | Actor Loss: -32.5034 | Entropy: 0.9753
Epoch [106/2000] | Sampled: 2188.50 | Baseline: 723.44 | Improvement: -1465.06 | Win Rate: 0.00% | Actor Loss: -205.8515 | Entropy: 0.8231
Epoch [107/2000] | Sampled: 2119.75 | Baseline: 688.94 | Improvement: -1430.81 | Win Rate: 0.00% | Actor Loss: -29.4100 | Entropy: 0.7783
Epoch [108/2000] | Sampled: 2090.38 | Baseline: 678.56 | Improvement: -1411.81 | Win Rate: 0.00% | Actor Loss: 16.0884 | Entropy: 0.8746
Epoch [109/2000] | Sampled: 2571.88 | Baseline: 840.38 | Improvement: -1731.50 | Win Rate: 0.00% | Actor Loss: -71.1952 | Entropy: 0.9347
Epoch [110/2000] | Sampled: 2080.06 | Baseline: 686.31 | Improvement: -1393.75 | Win Rate: 0.00% | Actor Loss: 372.9387 | Entropy: 0.8563
Epoch [111/2000] | Sampled: 2115.56 | Baseline: 689.12 | Improvement: -1426.44 | Win Rate: 0.00% | Actor Loss: -100.7493 | Entropy: 0.8641
Epoch [112/2000] | Sampled: 2205.44 | Baseline: 720.88 | Improvement: -1484.56 | Win Rate: 0.00% | Actor Loss: -1905.8309 | Entropy: 0.7929
Epoch [113/2000] | Sampled: 2196.50 | Baseline: 721.06 | Improvement: -1475.44 | Win Rate: 0.00% | Actor Loss: -917.2837 | Entropy: 0.8275
