Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [65/1500] | Sampled: 905.50 | Baseline: 694.50 | Improvement: -211.00 | Win Rate: 25.00% | Actor Loss: -809.5414 | Entropy: 2.0202
Epoch [66/1500] | Sampled: 1321.25 | Baseline: 1142.25 | Improvement: -179.00 | Win Rate: 0.00% | Actor Loss: -867.0103 | Entropy: 1.7076
Epoch [67/1500] | Sampled: 1117.50 | Baseline: 981.25 | Improvement: -136.25 | Win Rate: 25.00% | Actor Loss: -285.8584 | Entropy: 1.9506
Epoch [68/1500] | Sampled: 1743.50 | Baseline: 1319.00 | Improvement: -424.50 | Win Rate: 0.00% | Actor Loss: -2123.2413 | Entropy: 1.8110
Epoch [69/1500] | Sampled: 1766.75 | Baseline: 1167.25 | Improvement: -599.50 | Win Rate: 25.00% | Actor Loss: -944.4056 | Entropy: 1.7824
Epoch [70/1500] | Sampled: 1517.50 | Baseline: 1093.50 | Improvement: -424.00 | Win Rate: 25.00% | Actor Loss: -1674.1868 | Entropy: 1.5668
Epoch [71/1500] | Sampled: 1256.25 | Baseline: 921.75 | Improvement: -334.50 | Win Rate: 25.00% | Actor Loss: -1094.6674 | Entropy: 1.6749
Epoch [72/1500] | Sampled: 1428.00 | Baseline: 1070.50 | Improvement: -357.50 | Win Rate: 0.00% | Actor Loss: -887.0021 | Entropy: 1.8560
Epoch [73/1500] | Sampled: 1286.00 | Baseline: 871.00 | Improvement: -415.00 | Win Rate: 25.00% | Actor Loss: -1263.7433 | Entropy: 1.6699
Epoch [74/1500] | Sampled: 1387.00 | Baseline: 950.25 | Improvement: -436.75 | Win Rate: 0.00% | Actor Loss: -1512.5425 | Entropy: 1.4682
Epoch [75/1500] | Sampled: 1053.00 | Baseline: 837.50 | Improvement: -215.50 | Win Rate: 0.00% | Actor Loss: -61.8292 | Entropy: 1.4465
Epoch [76/1500] | Sampled: 1011.75 | Baseline: 946.50 | Improvement: -65.25 | Win Rate: 50.00% | Actor Loss: -383.1431 | Entropy: 1.5686
Epoch [77/1500] | Sampled: 966.50 | Baseline: 785.50 | Improvement: -181.00 | Win Rate: 0.00% | Actor Loss: -247.2817 | Entropy: 1.5053
Epoch [78/1500] | Sampled: 1038.75 | Baseline: 990.50 | Improvement: -48.25 | Win Rate: 50.00% | Actor Loss: -621.7532 | Entropy: 1.6368
Epoch [79/1500] | Sampled: 1382.00 | Baseline: 1243.25 | Improvement: -138.75 | Win Rate: 25.00% | Actor Loss: -124.6714 | Entropy: 1.8573
Epoch [80/1500] | Sampled: 1025.50 | Baseline: 990.75 | Improvement: -34.75 | Win Rate: 25.00% | Actor Loss: 141.2351 | Entropy: 1.6308
Epoch [81/1500] | Sampled: 1394.25 | Baseline: 1149.75 | Improvement: -244.50 | Win Rate: 25.00% | Actor Loss: -730.4961 | Entropy: 1.7847
Epoch [82/1500] | Sampled: 778.25 | Baseline: 659.50 | Improvement: -118.75 | Win Rate: 25.00% | Actor Loss: -1252.2203 | Entropy: 1.6263
Epoch [83/1500] | Sampled: 1599.00 | Baseline: 1381.50 | Improvement: -217.50 | Win Rate: 25.00% | Actor Loss: -1684.9753 | Entropy: 1.7964
Epoch [84/1500] | Sampled: 714.00 | Baseline: 659.00 | Improvement: -55.00 | Win Rate: 25.00% | Actor Loss: 65.3547 | Entropy: 1.3920
Epoch [85/1500] | Sampled: 1336.25 | Baseline: 982.25 | Improvement: -354.00 | Win Rate: 0.00% | Actor Loss: -1555.5648 | Entropy: 1.5902
Epoch [86/1500] | Sampled: 1554.50 | Baseline: 1156.00 | Improvement: -398.50 | Win Rate: 25.00% | Actor Loss: -567.4351 | Entropy: 1.4009
Epoch [87/1500] | Sampled: 1261.25 | Baseline: 1010.75 | Improvement: -250.50 | Win Rate: 25.00% | Actor Loss: -257.0459 | Entropy: 1.2944
Epoch [88/1500] | Sampled: 1664.50 | Baseline: 1299.50 | Improvement: -365.00 | Win Rate: 0.00% | Actor Loss: -798.2080 | Entropy: 1.6015
Epoch [89/1500] | Sampled: 1199.50 | Baseline: 1031.25 | Improvement: -168.25 | Win Rate: 0.00% | Actor Loss: 546.1748 | Entropy: 1.5160
Epoch [90/1500] | Sampled: 1335.75 | Baseline: 1006.00 | Improvement: -329.75 | Win Rate: 0.00% | Actor Loss: -1658.9578 | Entropy: 1.7130
Epoch [91/1500] | Sampled: 1525.50 | Baseline: 1272.00 | Improvement: -253.50 | Win Rate: 0.00% | Actor Loss: -291.1520 | Entropy: 2.1240
Epoch [92/1500] | Sampled: 1712.75 | Baseline: 1283.00 | Improvement: -429.75 | Win Rate: 0.00% | Actor Loss: -1580.8577 | Entropy: 2.1480
