Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
   -> Validation | Samples: 50 | Makespan: 729.12 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 729.12)
Epoch [51/3000] | Sampled: 582.97 | Baseline: 717.78 | Improvement: 134.81 | Win Rate: 100.00% | Actor Loss: -7.5484 | Entropy: 3.3119 | Invalid S/B: 0.16/0.00 | Max Load: 21.5 | Load Gap: 2.8
Epoch [52/3000] | Sampled: 569.41 | Baseline: 722.03 | Improvement: 152.62 | Win Rate: 100.00% | Actor Loss: -2.0296 | Entropy: 3.3120 | Invalid S/B: 0.03/0.00 | Max Load: 21.3 | Load Gap: 2.7
Epoch [53/3000] | Sampled: 569.50 | Baseline: 720.47 | Improvement: 150.97 | Win Rate: 100.00% | Actor Loss: 4.0098 | Entropy: 3.3050 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [54/3000] | Sampled: 565.34 | Baseline: 716.16 | Improvement: 150.81 | Win Rate: 100.00% | Actor Loss: 0.1879 | Entropy: 3.3181 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [55/3000] | Sampled: 562.38 | Baseline: 713.28 | Improvement: 150.91 | Win Rate: 100.00% | Actor Loss: -3.0518 | Entropy: 3.3168 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.1
Epoch [56/3000] | Sampled: 568.59 | Baseline: 718.00 | Improvement: 149.41 | Win Rate: 100.00% | Actor Loss: -2.3378 | Entropy: 3.3394 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.2
Epoch [57/3000] | Sampled: 561.97 | Baseline: 718.84 | Improvement: 156.88 | Win Rate: 100.00% | Actor Loss: -1.1182 | Entropy: 3.3182 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [58/3000] | Sampled: 575.78 | Baseline: 721.44 | Improvement: 145.66 | Win Rate: 100.00% | Actor Loss: -3.4870 | Entropy: 3.3206 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [59/3000] | Sampled: 575.22 | Baseline: 722.00 | Improvement: 146.78 | Win Rate: 100.00% | Actor Loss: -1.0744 | Entropy: 3.2952 | Invalid S/B: 0.06/0.00 | Max Load: 21.4 | Load Gap: 2.7
Epoch [60/3000] | Sampled: 561.69 | Baseline: 716.94 | Improvement: 155.25 | Win Rate: 100.00% | Actor Loss: -0.0012 | Entropy: 3.3129 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [61/3000] | Sampled: 563.44 | Baseline: 717.94 | Improvement: 154.50 | Win Rate: 100.00% | Actor Loss: 3.3836 | Entropy: 3.3120 | Invalid S/B: 0.06/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [62/3000] | Sampled: 567.09 | Baseline: 719.03 | Improvement: 151.94 | Win Rate: 100.00% | Actor Loss: -2.7857 | Entropy: 3.3105 | Invalid S/B: 0.09/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [63/3000] | Sampled: 560.59 | Baseline: 718.00 | Improvement: 157.41 | Win Rate: 100.00% | Actor Loss: -7.5565 | Entropy: 3.3119 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.4
