Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 778.38 | Improvement: -321.69 | Win Rate: 0.00% | Job Loss: 5.1102 | AMR Loss: -0.2459 | Entropy: 4.1292
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [91/2000] | Sampled: 2396.38 | Baseline: 821.75 | Improvement: -1574.62 | Win Rate: 0.00% | Job Loss: -1.3341 | AMR Loss: 0.5432 | Entropy: 1.2574
Epoch [92/2000] | Sampled: 2510.38 | Baseline: 861.56 | Improvement: -1648.81 | Win Rate: 0.00% | Job Loss: 2.5301 | AMR Loss: 0.5938 | Entropy: 1.2858
Epoch [93/2000] | Sampled: 2395.44 | Baseline: 824.00 | Improvement: -1571.44 | Win Rate: 0.00% | Job Loss: 0.4936 | AMR Loss: 1.3669 | Entropy: 1.2565
Epoch [94/2000] | Sampled: 2671.81 | Baseline: 919.88 | Improvement: -1751.94 | Win Rate: 0.00% | Job Loss: 0.7485 | AMR Loss: 0.3724 | Entropy: 1.3527
Epoch [95/2000] | Sampled: 1919.38 | Baseline: 663.06 | Improvement: -1256.31 | Win Rate: 0.00% | Job Loss: 2.1619 | AMR Loss: 0.5699 | Entropy: 1.0709
Epoch [96/2000] | Sampled: 1974.94 | Baseline: 680.88 | Improvement: -1294.06 | Win Rate: 0.00% | Job Loss: 0.1242 | AMR Loss: 0.7068 | Entropy: 1.1116
Epoch [97/2000] | Sampled: 2395.81 | Baseline: 824.38 | Improvement: -1571.44 | Win Rate: 0.00% | Job Loss: 1.0752 | AMR Loss: 0.1316 | Entropy: 1.2421
Epoch [98/2000] | Sampled: 2510.50 | Baseline: 862.00 | Improvement: -1648.50 | Win Rate: 0.00% | Job Loss: 6.6474 | AMR Loss: 0.7702 | Entropy: 1.2997
Epoch [99/2000] | Sampled: 2314.25 | Baseline: 783.44 | Improvement: -1530.81 | Win Rate: 0.00% | Job Loss: 5.9997 | AMR Loss: 0.1584 | Entropy: 1.2244
Epoch [100/2000] | Sampled: 2216.50 | Baseline: 774.38 | Improvement: -1442.12 | Win Rate: 0.00% | Job Loss: 6.4766 | AMR Loss: 1.0336 | Entropy: 1.2276
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [101/2000] | Sampled: 1766.69 | Baseline: 626.06 | Improvement: -1140.62 | Win Rate: 0.00% | Job Loss: 4.3356 | AMR Loss: 0.0478 | Entropy: 1.0548
Epoch [102/2000] | Sampled: 2315.44 | Baseline: 789.00 | Improvement: -1526.44 | Win Rate: 0.00% | Job Loss: 9.5333 | AMR Loss: 0.4151 | Entropy: 1.2771
Epoch [103/2000] | Sampled: 2353.56 | Baseline: 810.44 | Improvement: -1543.12 | Win Rate: 0.00% | Job Loss: 3.9444 | AMR Loss: 0.5035 | Entropy: 1.3464
Epoch [104/2000] | Sampled: 1998.31 | Baseline: 698.56 | Improvement: -1299.75 | Win Rate: 0.00% | Job Loss: 1.8219 | AMR Loss: 0.3459 | Entropy: 1.2662
Epoch [105/2000] | Sampled: 2216.88 | Baseline: 766.56 | Improvement: -1450.31 | Win Rate: 0.00% | Job Loss: 8.3619 | AMR Loss: 0.9387 | Entropy: 1.3641
Epoch [106/2000] | Sampled: 2269.44 | Baseline: 774.94 | Improvement: -1494.50 | Win Rate: 0.00% | Job Loss: 1.6402 | AMR Loss: 0.8364 | Entropy: 1.4145
Epoch [107/2000] | Sampled: 2159.19 | Baseline: 741.75 | Improvement: -1417.44 | Win Rate: 0.00% | Job Loss: 3.1719 | AMR Loss: 0.3860 | Entropy: 1.4111
Epoch [108/2000] | Sampled: 2096.50 | Baseline: 732.31 | Improvement: -1364.19 | Win Rate: 0.00% | Job Loss: 4.9107 | AMR Loss: 0.5636 | Entropy: 1.4042
Epoch [109/2000] | Sampled: 2647.81 | Baseline: 908.62 | Improvement: -1739.19 | Win Rate: 0.00% | Job Loss: 4.6351 | AMR Loss: 0.5148 | Entropy: 1.5516
Epoch [110/2000] | Sampled: 2121.06 | Baseline: 736.88 | Improvement: -1384.19 | Win Rate: 0.00% | Job Loss: -0.6117 | AMR Loss: 0.2448 | Entropy: 1.3896
Epoch [111/2000] | Sampled: 2129.44 | Baseline: 738.75 | Improvement: -1390.69 | Win Rate: 0.00% | Job Loss: -1.2066 | AMR Loss: 0.0128 | Entropy: 1.3645
