Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [48/2000] | Sampled: 2024.50 | Baseline: 659.94 | Improvement: -1364.56 | Win Rate: 0.00% | Job Loss: -9.6985 | AMR Loss: 1.7329 | Entropy: 1.6591 | Invalid S/B: 0.00/0.00 | Max Load: 55.6 | Load Gap: 55.6
Epoch [49/2000] | Sampled: 1875.62 | Baseline: 600.00 | Improvement: -1275.62 | Win Rate: 0.00% | Job Loss: -5.0715 | AMR Loss: 1.7704 | Entropy: 1.5869 | Invalid S/B: 0.00/0.00 | Max Load: 50.8 | Load Gap: 50.8
Epoch [50/2000] | Sampled: 2198.50 | Baseline: 710.12 | Improvement: -1488.38 | Win Rate: 0.00% | Job Loss: -7.1035 | AMR Loss: 1.7029 | Entropy: 1.6415 | Invalid S/B: 0.00/0.00 | Max Load: 58.9 | Load Gap: 58.8
Epoch [51/2000] | Sampled: 2217.88 | Baseline: 705.88 | Improvement: -1512.00 | Win Rate: 0.00% | Job Loss: -11.7772 | AMR Loss: 1.2287 | Entropy: 1.6272 | Invalid S/B: 0.00/0.00 | Max Load: 59.8 | Load Gap: 59.8
Epoch [52/2000] | Sampled: 1745.06 | Baseline: 563.38 | Improvement: -1181.69 | Win Rate: 0.00% | Job Loss: -5.3807 | AMR Loss: 1.8077 | Entropy: 1.6440 | Invalid S/B: 0.00/0.00 | Max Load: 47.1 | Load Gap: 47.1
Epoch [53/2000] | Sampled: 1867.88 | Baseline: 599.12 | Improvement: -1268.75 | Win Rate: 0.00% | Job Loss: -7.8418 | AMR Loss: 1.3796 | Entropy: 1.6089 | Invalid S/B: 0.00/0.00 | Max Load: 50.9 | Load Gap: 50.9
Epoch [54/2000] | Sampled: 2036.00 | Baseline: 655.94 | Improvement: -1380.06 | Win Rate: 0.00% | Job Loss: -6.1861 | AMR Loss: 1.9594 | Entropy: 1.5448 | Invalid S/B: 0.00/0.00 | Max Load: 54.3 | Load Gap: 54.1
Epoch [55/2000] | Sampled: 2439.50 | Baseline: 770.75 | Improvement: -1668.75 | Win Rate: 0.00% | Job Loss: -11.2924 | AMR Loss: 0.6992 | Entropy: 1.5071 | Invalid S/B: 0.00/0.00 | Max Load: 64.8 | Load Gap: 64.8
Epoch [56/2000] | Sampled: 1777.94 | Baseline: 580.50 | Improvement: -1197.44 | Win Rate: 0.00% | Job Loss: -8.5969 | AMR Loss: 1.6322 | Entropy: 1.5015 | Invalid S/B: 0.00/0.00 | Max Load: 48.4 | Load Gap: 48.4
Epoch [57/2000] | Sampled: 2296.56 | Baseline: 744.56 | Improvement: -1552.00 | Win Rate: 0.00% | Job Loss: -10.9299 | AMR Loss: 2.1864 | Entropy: 1.5615 | Invalid S/B: 0.00/0.00 | Max Load: 62.8 | Load Gap: 62.8
