Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [50/500] | Sampled: 257.81 | Baseline: 248.69 | Improvement: -9.12 | Win Rate: 12.50% | Job Loss: -0.6621 | AMR Loss: 0.0095 | Entropy: 0.8065 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 258.02 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 258.02)
Epoch [51/500] | Sampled: 259.53 | Baseline: 250.50 | Improvement: -9.03 | Win Rate: 12.50% | Job Loss: -0.2835 | AMR Loss: -0.2940 | Entropy: 0.7815 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [52/500] | Sampled: 258.75 | Baseline: 252.22 | Improvement: -6.53 | Win Rate: 18.75% | Job Loss: -0.1621 | AMR Loss: -0.1557 | Entropy: 0.7593 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [53/500] | Sampled: 258.94 | Baseline: 254.03 | Improvement: -4.91 | Win Rate: 25.00% | Job Loss: -0.1039 | AMR Loss: -0.5119 | Entropy: 0.7240 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [54/500] | Sampled: 262.06 | Baseline: 249.09 | Improvement: -12.97 | Win Rate: 18.75% | Job Loss: -0.4140 | AMR Loss: 0.1109 | Entropy: 0.7286 | Invalid S/B: 0.03/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 258.44 | Baseline: 252.34 | Improvement: -6.09 | Win Rate: 21.88% | Job Loss: -0.2061 | AMR Loss: 0.2694 | Entropy: 0.7154 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [56/500] | Sampled: 259.91 | Baseline: 253.38 | Improvement: -6.53 | Win Rate: 18.75% | Job Loss: -0.0737 | AMR Loss: -0.1158 | Entropy: 0.7072 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [57/500] | Sampled: 258.41 | Baseline: 247.69 | Improvement: -10.72 | Win Rate: 6.25% | Job Loss: -0.4649 | AMR Loss: -0.0126 | Entropy: 0.7134 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [58/500] | Sampled: 262.38 | Baseline: 256.41 | Improvement: -5.97 | Win Rate: 25.00% | Job Loss: -0.3544 | AMR Loss: -0.3179 | Entropy: 0.7282 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [59/500] | Sampled: 262.28 | Baseline: 255.16 | Improvement: -7.12 | Win Rate: 25.00% | Job Loss: -0.1588 | AMR Loss: 0.0167 | Entropy: 0.7401 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [60/500] | Sampled: 261.38 | Baseline: 254.19 | Improvement: -7.19 | Win Rate: 18.75% | Job Loss: 0.4146 | AMR Loss: 0.0341 | Entropy: 0.7358 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [61/500] | Sampled: 256.28 | Baseline: 249.22 | Improvement: -7.06 | Win Rate: 21.88% | Job Loss: -0.8528 | AMR Loss: -0.6134 | Entropy: 0.7513 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [62/500] | Sampled: 257.38 | Baseline: 249.09 | Improvement: -8.28 | Win Rate: 15.62% | Job Loss: -0.4810 | AMR Loss: -0.2296 | Entropy: 0.7912 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [63/500] | Sampled: 257.41 | Baseline: 248.94 | Improvement: -8.47 | Win Rate: 12.50% | Job Loss: -1.8670 | AMR Loss: 0.0520 | Entropy: 0.8332 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [64/500] | Sampled: 258.38 | Baseline: 251.19 | Improvement: -7.19 | Win Rate: 18.75% | Job Loss: -0.8114 | AMR Loss: 0.3248 | Entropy: 0.8429 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [65/500] | Sampled: 264.72 | Baseline: 256.50 | Improvement: -8.22 | Win Rate: 21.88% | Job Loss: -0.7085 | AMR Loss: 0.5056 | Entropy: 0.8732 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [66/500] | Sampled: 258.75 | Baseline: 252.19 | Improvement: -6.56 | Win Rate: 21.88% | Job Loss: -0.3552 | AMR Loss: -0.4740 | Entropy: 0.8769 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [67/500] | Sampled: 261.28 | Baseline: 251.19 | Improvement: -10.09 | Win Rate: 12.50% | Job Loss: -0.9190 | AMR Loss: 0.1169 | Entropy: 0.8744 | Invalid S/B: 0.03/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [68/500] | Sampled: 259.66 | Baseline: 253.28 | Improvement: -6.38 | Win Rate: 25.00% | Job Loss: -1.0569 | AMR Loss: 0.2716 | Entropy: 0.8868 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [69/500] | Sampled: 260.53 | Baseline: 250.06 | Improvement: -10.47 | Win Rate: 18.75% | Job Loss: -0.7070 | AMR Loss: 0.7360 | Entropy: 0.8930 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [70/500] | Sampled: 260.47 | Baseline: 252.09 | Improvement: -8.38 | Win Rate: 15.62% | Job Loss: -1.5139 | AMR Loss: -0.2388 | Entropy: 0.8936 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [71/500] | Sampled: 256.47 | Baseline: 252.59 | Improvement: -3.88 | Win Rate: 34.38% | Job Loss: -1.9444 | AMR Loss: 0.1995 | Entropy: 0.9187 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [72/500] | Sampled: 258.94 | Baseline: 255.81 | Improvement: -3.12 | Win Rate: 37.50% | Job Loss: -1.7016 | AMR Loss: -0.0081 | Entropy: 0.9225 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [73/500] | Sampled: 261.12 | Baseline: 255.03 | Improvement: -6.09 | Win Rate: 18.75% | Job Loss: -0.4544 | AMR Loss: 0.0722 | Entropy: 0.9236 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [74/500] | Sampled: 258.81 | Baseline: 252.72 | Improvement: -6.09 | Win Rate: 21.88% | Job Loss: -1.4385 | AMR Loss: -0.1602 | Entropy: 0.9206 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [75/500] | Sampled: 258.97 | Baseline: 251.59 | Improvement: -7.38 | Win Rate: 21.88% | Job Loss: -2.8988 | AMR Loss: -0.1905 | Entropy: 0.9308 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [76/500] | Sampled: 256.44 | Baseline: 252.88 | Improvement: -3.56 | Win Rate: 34.38% | Job Loss: -1.6157 | AMR Loss: -0.1660 | Entropy: 0.9150 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [77/500] | Sampled: 260.81 | Baseline: 254.19 | Improvement: -6.62 | Win Rate: 31.25% | Job Loss: -1.5753 | AMR Loss: -0.2171 | Entropy: 0.9089 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [78/500] | Sampled: 257.75 | Baseline: 252.69 | Improvement: -5.06 | Win Rate: 25.00% | Job Loss: -1.0563 | AMR Loss: 0.2681 | Entropy: 0.8939 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [79/500] | Sampled: 258.91 | Baseline: 253.97 | Improvement: -4.94 | Win Rate: 25.00% | Job Loss: -1.4997 | AMR Loss: -0.2675 | Entropy: 0.8861 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [80/500] | Sampled: 258.44 | Baseline: 250.81 | Improvement: -7.62 | Win Rate: 18.75% | Job Loss: 0.3806 | AMR Loss: -0.1923 | Entropy: 0.8537 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [81/500] | Sampled: 258.16 | Baseline: 252.72 | Improvement: -5.44 | Win Rate: 31.25% | Job Loss: -1.2306 | AMR Loss: 0.0152 | Entropy: 0.8460 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [82/500] | Sampled: 257.12 | Baseline: 249.75 | Improvement: -7.38 | Win Rate: 18.75% | Job Loss: -0.1706 | AMR Loss: -0.2581 | Entropy: 0.8455 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [83/500] | Sampled: 260.44 | Baseline: 251.25 | Improvement: -9.19 | Win Rate: 12.50% | Job Loss: -1.7710 | AMR Loss: 0.0325 | Entropy: 0.8164 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [84/500] | Sampled: 259.47 | Baseline: 250.06 | Improvement: -9.41 | Win Rate: 12.50% | Job Loss: -1.4493 | AMR Loss: -0.0245 | Entropy: 0.7870 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [85/500] | Sampled: 258.41 | Baseline: 252.38 | Improvement: -6.03 | Win Rate: 21.88% | Job Loss: -0.7743 | AMR Loss: -0.1009 | Entropy: 0.7905 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
