Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [32/500] | Sampled: 253.00 | Baseline: 249.78 | Improvement: -3.22 | Win Rate: 34.38% | Job Loss: -1.9208 | AMR Loss: -0.1999 | Entropy: 1.1278 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 257.62 | Baseline: 252.75 | Improvement: -4.88 | Win Rate: 28.12% | Job Loss: -1.2557 | AMR Loss: -0.4416 | Entropy: 1.1660 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 250.94 | Baseline: 248.47 | Improvement: -2.47 | Win Rate: 37.50% | Job Loss: -2.1033 | AMR Loss: -0.3402 | Entropy: 1.2505 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 253.44 | Baseline: 249.81 | Improvement: -3.62 | Win Rate: 37.50% | Job Loss: -1.8904 | AMR Loss: -0.2678 | Entropy: 1.2636 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 255.72 | Baseline: 250.50 | Improvement: -5.22 | Win Rate: 28.12% | Job Loss: -2.6855 | AMR Loss: -0.2347 | Entropy: 1.1875 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 258.81 | Baseline: 253.28 | Improvement: -5.53 | Win Rate: 18.75% | Job Loss: -2.5813 | AMR Loss: -0.1956 | Entropy: 1.1211 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 260.47 | Baseline: 251.41 | Improvement: -9.06 | Win Rate: 18.75% | Job Loss: -2.1005 | AMR Loss: -0.3482 | Entropy: 1.0524 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 259.44 | Baseline: 253.72 | Improvement: -5.72 | Win Rate: 37.50% | Job Loss: -1.0443 | AMR Loss: -0.1375 | Entropy: 1.0270 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 257.38 | Baseline: 252.00 | Improvement: -5.38 | Win Rate: 34.38% | Job Loss: -2.8956 | AMR Loss: 0.0075 | Entropy: 1.0135 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 255.16 | Baseline: 249.69 | Improvement: -5.47 | Win Rate: 25.00% | Job Loss: -0.3203 | AMR Loss: -0.2965 | Entropy: 0.9754 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
