Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [51/500] | Sampled: 246.06 | Baseline: 250.50 | Improvement: 4.44 | Win Rate: 71.88% | Actor Loss: -0.0037 | Entropy: 0.6462 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [52/500] | Sampled: 249.38 | Baseline: 252.22 | Improvement: 2.84 | Win Rate: 59.38% | Actor Loss: -0.3683 | Entropy: 0.6718 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [53/500] | Sampled: 246.94 | Baseline: 254.03 | Improvement: 7.09 | Win Rate: 75.00% | Actor Loss: -0.8108 | Entropy: 0.6642 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [54/500] | Sampled: 245.31 | Baseline: 249.09 | Improvement: 3.78 | Win Rate: 65.62% | Actor Loss: -0.5537 | Entropy: 0.6242 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [55/500] | Sampled: 249.97 | Baseline: 252.34 | Improvement: 2.38 | Win Rate: 62.50% | Actor Loss: 0.5401 | Entropy: 0.6156 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [56/500] | Sampled: 248.91 | Baseline: 253.38 | Improvement: 4.47 | Win Rate: 75.00% | Actor Loss: 0.5306 | Entropy: 0.5794 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [57/500] | Sampled: 247.84 | Baseline: 247.69 | Improvement: -0.16 | Win Rate: 43.75% | Actor Loss: -1.5788 | Entropy: 0.5571 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [58/500] | Sampled: 248.16 | Baseline: 256.41 | Improvement: 8.25 | Win Rate: 78.12% | Actor Loss: 0.0729 | Entropy: 0.5865 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [59/500] | Sampled: 252.81 | Baseline: 255.16 | Improvement: 2.34 | Win Rate: 56.25% | Actor Loss: -0.0819 | Entropy: 0.5568 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [60/500] | Sampled: 252.31 | Baseline: 254.19 | Improvement: 1.88 | Win Rate: 56.25% | Actor Loss: 0.2753 | Entropy: 0.5320 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [61/500] | Sampled: 245.78 | Baseline: 249.22 | Improvement: 3.44 | Win Rate: 68.75% | Actor Loss: -0.4810 | Entropy: 0.5128 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [62/500] | Sampled: 246.38 | Baseline: 249.09 | Improvement: 2.72 | Win Rate: 62.50% | Actor Loss: -0.2512 | Entropy: 0.5196 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
