n_jobs,policy,rule,is_best_rule_at_n,n_pairs,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
60,extend_GNN best-of-16 s44,material_match+earliest_completion,no,100,-32.11,3.29,-9.19,-35.38,-28.8,96,4,96.0,0.0001,yes
60,extend_GNN best-of-16 s44,milk_run+least_loaded,yes,100,-29.68,5.9,-8.56,-35.71,-23.89,82,18,82.0,0.0001,yes
60,extend_GNN best-of-16 s44,earliest_completion_job+earliest_completion,no,100,-32.42,3.3,-9.27,-35.72,-29.12,96,4,96.0,0.0001,yes
60,extend_GNN best-of-16 s44,earliest_completion_job+material_match,no,100,-32.46,3.24,-9.28,-35.71,-29.29,98,1,98.0,0.0001,yes
80,extend_GNN greedy (3 seeds),milk_run+earliest_completion,yes,97,4.15,5.93,0.97,-1.93,9.93,37,60,38.1,0.1682,no
80,extend_GNN greedy (3 seeds),milk_run+earliest_available,no,97,-0.38,6.76,-0.09,-7.18,6.42,39,57,40.2,0.9086,no
80,extend_GNN greedy (3 seeds),material_match+earliest_completion,no,97,-16.03,4.18,-3.59,-20.12,-11.96,75,21,77.3,0.0001,yes
80,extend_GNN greedy (3 seeds),milk_run+least_loaded,no,97,-1.25,6.95,-0.29,-8.15,5.79,42,54,43.3,0.7242,no
80,extend_GNN greedy (3 seeds),earliest_completion_job+earliest_completion,no,97,-16.49,4.23,-3.69,-20.67,-12.41,75,22,77.3,0.0001,yes
80,extend_GNN greedy (3 seeds),earliest_completion_job+material_match,no,97,-17.38,3.72,-3.88,-21.14,-13.67,80,17,82.5,0.0001,yes
80,extend_GNN greedy _s42,milk_run+earliest_completion,yes,99,7.84,6.12,1.84,1.56,13.78,35,62,35.4,0.0157,yes
80,extend_GNN greedy _s42,milk_run+earliest_available,no,99,3.32,6.64,0.77,-3.34,9.99,44,53,44.4,0.3322,no
80,extend_GNN greedy _s42,material_match+earliest_completion,no,99,-12.63,5.21,-2.83,-17.88,-7.45,67,30,67.7,0.0001,yes
80,extend_GNN greedy _s42,milk_run+least_loaded,no,99,2.36,6.71,0.55,-4.37,9.11,40,57,40.4,0.4877,no
80,extend_GNN greedy _s42,earliest_completion_job+earliest_completion,no,99,-13.07,5.21,-2.92,-18.38,-7.85,69,28,69.7,0.0001,yes
80,extend_GNN greedy _s42,earliest_completion_job+material_match,no,99,-13.74,4.7,-3.07,-18.39,-9.11,70,28,70.7,0.0001,yes
80,extend_GNN greedy _s43,milk_run+earliest_completion,yes,98,11.54,7.58,2.71,3.86,18.99,37,61,37.8,0.0043,yes
80,extend_GNN greedy _s43,milk_run+earliest_available,no,98,6.91,8.05,1.6,-1.05,14.97,40,57,40.8,0.0912,no
80,extend_GNN greedy _s43,material_match+earliest_completion,no,98,-8.78,5.84,-1.96,-14.42,-3.09,64,34,65.3,0.0046,yes
80,extend_GNN greedy _s43,milk_run+least_loaded,no,98,6.03,8.28,1.4,-2.16,14.32,43,54,43.9,0.147,no
80,extend_GNN greedy _s43,earliest_completion_job+earliest_completion,no,98,-9.22,5.9,-2.06,-15.01,-3.48,65,33,66.3,0.0029,yes
80,extend_GNN greedy _s43,earliest_completion_job+material_match,no,98,-10.09,5.38,-2.25,-15.46,-4.74,65,30,66.3,0.0004,yes
80,extend_GNN greedy _s44,milk_run+earliest_completion,yes,100,-5.38,6.17,-1.26,-11.59,0.76,52,46,52.0,0.0939,no
80,extend_GNN greedy _s44,milk_run+earliest_available,no,100,-9.99,7.33,-2.32,-17.36,-2.74,55,43,55.0,0.0083,yes
80,extend_GNN greedy _s44,material_match+earliest_completion,no,100,-25.97,4.42,-5.81,-30.38,-21.67,86,13,86.0,0.0001,yes
80,extend_GNN greedy _s44,milk_run+least_loaded,no,100,-10.96,7.51,-2.54,-18.47,-3.51,57,43,57.0,0.0054,yes
80,extend_GNN greedy _s44,earliest_completion_job+earliest_completion,no,100,-26.41,4.46,-5.9,-30.87,-22.03,85,14,85.0,0.0001,yes
80,extend_GNN greedy _s44,earliest_completion_job+material_match,no,100,-27.05,4.45,-6.04,-31.41,-22.75,91,9,91.0,0.0001,yes
80,extend_GNN best-of-8 s42,milk_run+earliest_completion,yes,100,-8.05,6.04,-1.89,-14.19,-2.04,55,44,55.0,0.0108,yes
80,extend_GNN best-of-8 s42,milk_run+earliest_available,no,100,-12.66,6.38,-2.94,-19.17,-6.38,61,36,61.0,0.0001,yes
80,extend_GNN best-of-8 s42,material_match+earliest_completion,no,100,-28.64,4.31,-6.41,-33.0,-24.4,92,8,92.0,0.0001,yes
